	FOUM_7_2	HS_16_2	TE_6_43_1	BAD_18_1	IR_7_1	HS_7_1	FOUM_3_1	IR_13_1	NI_13_2	BAD_8_1	BAD_3_1	FOUM_14_2	BAD_14_2	HS_18_2	NI_16_2	TE_1_10_1_2	IR_4_2	NI_3_1	IR_10_2	HS_FA_2_2	TE_FA_1_1	NI_7_2	NI_19_1	BAD_1_1	IR_17_1	TE_21_30_1_1	TE_11_20_1_2	FOUM_8_2	HS_3_1	FOUM_17_2
VTX00047	0	0	0	0	0	0	232	0	6	1	1	0	0	0	0	0	0	0	0	0	0	2	0	3410	0	0	0	0	0	0
VTX00070	0	0	0	479	269	15	473	20	0	581	0	446	330	242	0	0	106	0	15	463	0	0	0	1	18	0	0	0	0	0
VTX00111	0	883	841	6	0	22	1	293	381	0	0	0	0	127	74	0	0	10	1	719	0	0	18	0	0	2	0	2	29	0
VTX00204	0	0	0	0	0	0	27	0	556	892	660	0	265	0	0	102	0	0	0	0	95	431	0	0	0	244	55	0	0	0
VTX00039	0	35	846	138	0	162	68	0	0	9	1	351	99	73	317	73	0	10	9	21	19	95	0	0	44	14	0	610	164	0
VTX00253	0	0	0	2430	9	0	105	0	1	122	0	9	391	0	0	0	3	0	0	0	0	0	50	1	0	0	0	0	0	0
VTX00368	0	0	0	0	0	0	0	995	0	0	0	0	0	73	0	0	78	0	1702	227	0	0	0	0	0	0	0	0	0	0
VTX00166	0	113	0	0	0	158	0	150	0	0	399	1	49	378	1275	0	0	5	7	3	0	0	181	0	0	0	0	0	53	0
VTX00069	0	0	0	1	0	0	199	0	88	331	468	96	653	0	1	0	0	0	0	0	160	478	0	0	0	75	0	0	0	0
VTX00433	1	399	64	0	0	0	7	0	15	38	443	1	70	72	270	90	0	0	18	0	363	224	36	0	3	118	81	1	176	1
VTX00219	0	256	326	66	1	130	2	265	0	141	0	0	18	273	138	65	0	293	37	66	1	11	135	0	49	142	40	1	17	0
VTX00130	0	0	46	0	0	0	480	0	0	257	0	12	949	0	0	114	0	0	0	0	60	421	0	0	13	56	0	0	0	0
VTX00364	0	14	196	665	0	0	0	0	0	0	0	0	0	17	260	176	6	0	0	0	75	620	0	0	0	48	235	0	0	1
VTX00185	6	0	3	0	0	0	6	0	3	0	2150	0	0	0	0	0	0	1	0	0	42	74	0	0	0	0	0	0	0	0
VTX00343	0	0	6	0	476	5	0	0	5	1	0	1	1	37	695	0	0	3	6	366	0	0	389	0	19	0	0	0	0	0
VTX00360	0	3	9	225	94	0	447	0	0	232	49	165	234	2	0	0	430	2	2	1	0	0	4	0	0	2	1	1	0	0
VTX00238	0	0	0	1006	0	0	128	0	0	206	0	256	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
VTX00263	0	0	0	0	0	0	28	0	0	1	2	0	17	0	0	370	0	0	0	0	0	0	0	1144	0	0	29	0	0	0
VTX00131	0	0	585	0	0	0	2	0	0	1	0	0	0	0	0	154	0	0	0	0	14	0	0	0	0	344	368	0	0	1
VTX00420	0	0	0	927	0	0	0	0	190	0	0	0	124	0	1	0	115	0	0	0	0	1	0	0	16	0	0	0	0	0
