	Domain	Phylum	Class	Order	Family	Genus
6ede27c524ea7d7bacbccf1da80c0c2e0e150748	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Reyranellaceae	Reyranella
af3e48b0d0b9b1a6ca12fc249e13b25db3b3ddbf	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium
74a14fae4e147fbfbd16d6de703d7e21fedffe48	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Acidibacter	Acidibacter
d969db061d7d7cb71a163325a6824d7636211909	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Piscinibacterium
1fbf11c9f33b86ab09986008172f0a40407fafb1	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Kofleriaceae	Kofleria
af71e3e08019ac52a0931fcd5933206645d03721	Bacteria	Acidobacteriota	Acidobacteria_Gp5	Gp5	Gp5	Gp5
446fcf7eced021e5f2c7e1566cb5c5f05ee67107	Bacteria	Acidobacteriota	Acidobacteria_Gp2	Gp2	Gp2	Gp2
831a6cf85e0c2418d06644851655c834de0b205c	Bacteria	Acidobacteriota	Acidobacteria_Gp2	Gp2	Gp2	Gp2
93255e856279e134a87c86828eef0616113e99b5	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa
6d3a07ff4fb6823d7f860cdc98dffc17359efa51	Bacteria	Thermomicrobiota	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter
17b1f264960739cc1b7b9ad2be850b5ff81236f3	Bacteria	Acidobacteriota	Acidobacteria_Gp2	Gp2	Gp2	Gp2
b4d07dd5e9ed15fd0c15f9e6667610ab177328fc	Bacteria	Acidobacteriota	Acidobacteria_Gp2	Gp2	Gp2	Gp2
d8dd5bcba4b9eabe1bb15ca27d21de8b6725d3d9	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	Gp1	Gp1
45ee3b74770039799d98c9dfea5c66766d0ac561	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa
94b3aaaf55511c7276fd2edb0f8cdb4d43c084cd	Bacteria	Acidobacteriota	Acidobacteria_Gp3	Gp3	Gp3	Gp3
73f497379b91b9a1db4e69060a9ca5d29034fdf0	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
ba469758dd5f68ff595bcd94f7e46558a4730f71	Bacteria	Acidobacteriota	Acidobacteria_Gp3	Gp3	Gp3	Gp3
3974d494c06f49fee55edb2410411042c42a2e69	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Pseudolabrys
d7699d94ef4d25e3061562a0239ea3d24617515f	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Denitratisoma
b986caa02237f67d8be750cf67cf97659be8ac18	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Ferruginivarius
cd095328ce71e2e55cce6b813b87767d904a0079	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Rhodoplanes
13f7e0620762c95aab595ee36901ffd69da7e19b	Bacteria	Acidobacteriota	Acidobacteria_Gp11	Gp11	Gp11	Gp11
4e1af1e0cf0864b1831e4659e4327d3bd1b90b56	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Usitatibacteraceae	Usitatibacter
a870b312adfd9d9072c8fc2827090767a8efa9fd	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
0208008c9aaa94237d4cd3527a5024e724daaca5	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Metabacillus
8eaa5aa70d4db0628fed9d9895d8af40fe31e345	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Chromatocurvus
7d8249f191a0b7e09693ae77cc5aa1af6f2830bc	Bacteria	Pseudomonadota	Deltaproteobacteria	Deltaproteobacteria_incertae_sedis	Dissulfurimicrobium	Dissulfurimicrobium
313d0a0b4ce57eac92c5285027d534cf6945198e	Bacteria	Pseudomonadota	Betaproteobacteria	Betaproteobacteria_incertae_sedis	Casimicrobiaceae	Casimicrobium
a349f2a27d551f43f2d4475b95fa663f06f9dbfb	Bacteria	Pseudomonadota	Betaproteobacteria	Betaproteobacteria_incertae_sedis	Casimicrobiaceae	Casimicrobium
c43d25a89364611b8ca55ff9bb1394c65c78de64	Bacteria	Bacillota	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Calorimonas
dbab3c345e8e97560dfd9c8b8a8cbe6f1e16e3f2	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
165310164f6360171e2ac9d37dee2d7e096265d8	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Domibacillus
920f75e055d7db8ef9461b6f572ba1f330685dd6	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium
2aa45150439c1e9b5b40669f0924c5537a4aa54d	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
d1639db9668016030b1ac1759f19d032b102fcb7	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Nitrobacter
